"face_id","x","y","w","h","annot_type_id"
"39414","320","241","379","379","1"
"39415","115","99","337","337","1"
"39417","112","106","172","172","1"
"39418","314","93","190","190","1"
"39419","115","53","95","95","1"
"39420","149","92","103","103","1"
"39423","159","48","158","158","1"
"39424","136","45","68","68","1"
"39425","106","90","119","119","1"
"39426","69","101","297","297","1"
"39427","86","101","102","102","1"
"39428","549","686","854","854","1"
"39429","10","85","206","206","1"
"39430","553","445","584","584","1"
"39431","317","202","213","213","1"
"39432","152","169","143","143","1"
"39433","231","200","481","481","1"
"39435","102","83","128","128","1"
"39436","153","64","83","83","1"
"39437","241","25","88","88","1"
"39438","346","148","84","84","1"
"39439","160","54","71","71","1"
"39440","440","12","943","943","1"
"39441","142","153","209","209","1"
"39442","74","127","323","323","1"
"39443","253","85","169","169","1"
"39444","757","473","768","768","1"
"39445","143","336","133","133","1"
"39446","51","1","255","255","1"
"39447","312","144","119","119","1"
"39448","244","165","162","162","1"
"39449","98","49","192","192","1"
"39450","220","87","92","92","1"
"39451","13","326","172","172","1"
"39453","140","138","49","49","1"
"39454","232","197","135","135","1"
"39455","312","161","63","63","1"
"39456","1664","538","672","672","1"
"39457","63","163","281","281","1"
"39458","224","112","153","153","1"
"39459","91","49","229","229","1"
"39460","127","17","179","179","1"
"39461","62","120","75","75","1"
"39462","189","125","67","67","1"
"39463","316","103","44","44","1"
"39464","67","340","73","73","1"
"39466","310","324","34","34","1"
"39467","154","79","101","101","1"
"39468","98","61","553","553","1"
"39469","317","81","147","147","1"
"39470","23","128","234","234","1"
"39471","141","232","73","73","1"
"39472","151","66","94","94","1"
"39473","169","62","86","86","1"
"39476","76","108","171","171","1"
"39477","92","188","212","212","1"
"39478","112","73","155","155","1"
"39479","188","71","143","143","1"
"39480","179","-18","268","268","1"
"39481","95","131","183","183","1"
"39482","67","64","231","231","1"
"39483","168","56","214","214","1"
"39484","92","72","421","421","1"
"39485","186","227","460","460","1"
"39486","221","101","180","180","1"
"39487","142","110","170","170","1"
"39488","170","121","105","105","1"
"39489","148","141","239","239","1"
"39490","286","272","95","95","1"
"39491","182","163","534","534","1"
"39492","98","123","143","143","1"
"39493","9","39","74","74","1"
"39494","409","93","77","77","1"
"39495","119","185","139","139","1"
"39496","96","197","197","197","1"
"39497","74","210","212","212","1"
"39498","188","214","170","170","1"
"39499","92","157","73","73","1"
"39500","694","297","106","106","1"
"39501","406","226","434","434","1"
"39502","453","237","431","431","1"
"39503","741","1109","1861","1861","1"
"39504","204","83","244","244","1"
"39505","1355","503","722","722","1"
"39506","177","119","236","236","1"
"39507","277","348","1068","1068","1"
"39509","-211","676","1894","1894","1"
"39510","886","828","1446","1446","1"
"39511","278","528","446","446","1"
"39512","229","36","320","320","1"
"39513","132","132","86","86","1"
"39514","231","78","132","132","1"
"39516","24","75","285","285","1"
"39517","204","49","262","262","1"
"39518","109","150","207","207","1"
"39523","245","130","271","271","1"
"39524","312","-17","189","189","1"
"39525","70","98","415","415","1"
"39526","83","84","283","283","1"
"39527","79","208","643","643","1"
"39528","54","43","72","72","1"
"39529","229","-10","372","372","1"
"39530","254","106","178","178","1"
"39531","628","302","1241","1241","1"
"39532","84","67","313","313","1"
"39533","130","123","71","71","1"
"39534","294","128","72","72","1"
"39537","142","69","114","114","1"
"39538","185","108","131","131","1"
"39539","203","123","101","101","1"
"39540","0","129","68","68","1"
"39541","211","106","70","70","1"
"39542","91","90","350","350","1"
"39543","131","39","98","98","1"
"39544","236","52","202","202","1"
"39545","138","92","253","253","1"
"39546","268","47","98","98","1"
"39547","270","113","686","686","1"
"39548","68","95","174","174","1"
"39549","435","213","372","372","1"
"39550","252","120","104","104","1"
"39551","154","206","128","128","1"
"39552","151","169","120","120","1"
"39553","1117","968","1561","1561","1"
"39554","123","153","246","246","1"
"39555","231","104","225","225","1"
"39556","-9","-33","358","358","1"
"39557","265","186","261","261","1"
"39558","373","588","189","189","1"
"39559","540","184","289","289","1"
"39560","54","57","229","229","1"
"39561","573","140","130","130","1"
"39562","425","417","200","200","1"
"39563","950","457","962","962","1"
"39564","573","287","523","523","1"
"39566","162","733","852","852","1"
"39567","216","194","609","609","1"
"39568","173","51","228","228","1"
"39569","114","77","58","58","1"
"39570","188","86","89","89","1"
"39571","58","234","572","572","1"
"39572","311","28","214","214","1"
"39573","239","120","114","114","1"
"39574","79","139","229","229","1"
"39575","255","45","52","52","1"
"39576","114","20","358","358","1"
"39578","205","72","490","490","1"
"39579","219","-18","346","346","1"
"39580","178","44","153","153","1"
"39581","155","87","185","185","1"
"39582","127","127","141","141","1"
"39583","167","124","185","185","1"
"39584","174","102","166","166","1"
"39585","149","87","144","144","1"
"39586","-21","75","368","368","1"
"39587","437","250","1086","1086","1"
"39588","835","462","523","523","1"
"39589","163","160","127","127","1"
"39590","351","237","66","66","1"
"39591","230","113","149","149","1"
"39592","230","192","307","307","1"
"39593","204","157","152","152","1"
"39594","134","74","152","152","1"
"39595","228","36","136","136","1"
"39596","116","51","127","127","1"
"39597","172","89","191","191","1"
"39598","137","159","172","172","1"
"39599","207","456","1830","1830","1"
"39600","227","79","129","129","1"
"39601","-4","18","1331","1331","1"
"39602","81","131","206","206","1"
"39603","1126","823","1224","1224","1"
"39604","211","206","179","179","1"
"39606","363","-13","440","440","1"
"39607","98","81","131","131","1"
"39609","60","132","204","204","1"
"39610","397","42","176","176","1"
"39611","256","86","354","354","1"
"39612","464","333","1336","1336","1"
"39613","27","117","317","317","1"
"39614","132","123","356","356","1"
"39615","101","57","225","225","1"
"39616","78","60","152","152","1"
"39617","331","-5","170","170","1"
"39618","928","1043","1500","1500","1"
"39619","116","3","243","243","1"
"39620","40","18","291","291","1"
"39621","80","42","293","293","1"
"39622","145","44","307","307","1"
"39624","107","132","186","186","1"
"39625","179","57","192","192","1"
"39626","788","463","1117","1117","1"
"39628","-5","-29","342","342","1"
"39629","446","323","2639","2639","1"
"39630","17","111","277","277","1"
"39631","284","419","532","532","1"
"39632","41","0","255","255","1"
"39633","224","99","190","190","1"
"39634","126","76","146","146","1"
"39635","1292","890","1196","1196","1"
"39636","54","51","363","363","1"
"39637","57","87","283","283","1"
"39638","843","163","1216","1216","1"
"39639","1721","833","1343","1343","1"
"39640","233","129","258","258","1"
"39641","43","143","149","149","1"
"39642","198","55","220","220","1"
"39643","67","67","187","187","1"
"39644","384","148","382","382","1"
"39645","440","219","697","697","1"
"39646","222","133","276","276","1"
"39647","474","408","1873","1873","1"
"39648","104","109","177","177","1"
"39649","5","206","306","306","1"
"39650","59","140","159","159","1"
"39651","444","216","540","540","1"
"39652","906","169","793","793","1"
"39653","209","65","151","151","1"
"39654","472","447","928","928","1"
"39655","1052","465","857","857","1"
"39656","93","63","123","123","1"
"39657","279","244","284","284","1"
"39658","438","-45","1070","1070","1"
"39659","666","369","728","728","1"
"39660","659","1649","1612","1612","1"
"39661","190","35","249","249","1"
"39662","-10","104","370","370","1"
"39663","278","40","116","116","1"
"39664","77","204","500","500","1"
"39665","1383","383","2584","2584","1"
"39666","550","245","285","285","1"
"39667","-46","86","237","237","1"
"39668","377","112","233","233","1"
"39669","837","72","241","241","1"
"39670","114","192","786","786","1"
"39671","152","52","341","341","1"
"39672","262","102","157","157","1"
"39673","31","103","362","362","1"
"39674","111","105","186","186","1"
"39675","201","121","216","216","1"
"39676","115","155","115","115","1"
"39677","144","74","208","208","1"
"39678","119","274","334","334","1"
"39679","336","304","450","450","1"
"39680","-36","315","416","416","1"
"39681","294","52","84","84","1"
"39682","155","94","85","85","1"
"39683","78","97","219","219","1"
"39684","84","128","207","207","1"
"39685","143","123","106","106","1"
"39686","126","131","84","84","1"
"39687","138","139","88","88","1"
"39688","151","77","62","62","1"
"39689","84","89","94","94","1"
"39690","109","106","61","61","1"
"39691","205","126","96","96","1"
"39692","776","306","545","545","1"
"39693","229","271","144","144","1"
"39694","263","70","114","114","1"
"39695","225","113","87","87","1"
"39696","218","106","245","245","1"
"39697","282","291","229","229","1"
"39698","86","86","122","122","1"
"39699","213","153","255","255","1"
"39700","365","139","184","184","1"
"39701","228","198","337","337","1"
"39702","199","199","530","530","1"
"39703","100","158","145","145","1"
"39704","123","176","120","120","1"
"39705","101","186","110","110","1"
"39706","514","278","449","449","1"
"39707","128","83","231","231","1"
"39708","310","221","120","120","1"
"39709","137","90","108","108","1"
"39710","170","92","115","115","1"
"39711","433","112","337","337","1"
"39712","161","68","71","71","1"
"39713","198","189","166","166","1"
"39714","203","348","132","132","1"
"39715","142","160","116","116","1"
"39717","189","134","155","155","1"
"39718","265","65","80","80","1"
"39719","2902","910","823","823","1"
"39720","447","115","140","140","1"
"39721","334","140","224","224","1"
"39722","57","98","188","188","1"
"39723","392","21","631","631","1"
"39724","396","77","551","551","1"
"39725","86","130","378","378","1"
"39726","250","98","161","161","1"
"39727","12","89","190","190","1"
"39728","125","69","297","297","1"
"39729","1","100","352","352","1"
"39730","138","372","208","208","1"
"39731","393","118","219","219","1"
"39732","94","159","190","190","1"
"39734","1253","689","1144","1144","1"
"39735","244","49","150","150","1"
"39736","980","444","1209","1209","1"
"39737","110","140","161","161","1"
"39738","226","135","165","165","1"
"39739","215","154","244","244","1"
"39740","145","73","188","188","1"
"39741","125","29","510","510","1"
"39742","216","-15","522","522","1"
"39743","64","258","497","497","1"
"39744","171","44","329","329","1"
"39745","802","672","935","935","1"
"39746","219","109","109","109","1"
"39747","-46","75","430","430","1"
"39748","100","87","103","103","1"
"39749","305","93","221","221","1"
"39750","265","185","190","190","1"
"39751","250","83","627","627","1"
"39753","39","124","202","202","1"
"39755","870","1073","1007","1007","1"
"39756","428","260","252","252","1"
"39757","111","63","168","168","1"
"39758","138","181","180","180","1"
"39759","98","121","176","176","1"
"39760","446","549","1172","1172","1"
"39761","40","73","249","249","1"
"39762","368","120","541","541","1"
"39763","579","381","606","606","1"
"39764","239","65","55","55","1"
"39765","160","100","133","133","1"
"39766","167","-3","529","529","1"
"39767","232","208","73","73","1"
"39768","211","155","117","117","1"
"39769","359","290","554","554","1"
"39770","89","69","207","207","1"
"39771","71","15","161","161","1"
"39772","91","83","278","278","1"
"39773","140","71","56","56","1"
"39774","397","74","51","51","1"
"39775","181","180","274","274","1"
"39776","67","102","192","192","1"
"39779","3","133","297","297","1"
"39780","31","447","303","303","1"
"39781","338","325","299","299","1"
"39782","468","361","273","273","1"
"39783","72","249","178","178","1"
"39784","44","81","235","235","1"
"39785","109","94","218","218","1"
"39786","432","321","230","230","1"
"39787","1252","452","1220","1220","1"
"39788","1034","963","465","465","1"
"39789","310","266","285","285","1"
"39790","137","85","137","137","1"
"39791","18","310","473","473","1"
"39792","195","39","293","293","1"
"39793","140","168","139","139","1"
"39794","159","124","177","177","1"
"39795","17","562","1494","1494","1"
"39796","220","181","243","243","1"
"39797","122","-7","300","300","1"
"39798","467","157","340","340","1"
"39799","147","64","240","240","1"
"39800","213","79","145","145","1"
"39801","291","254","513","513","1"
"39802","83","56","250","250","1"
"39803","292","230","123","123","1"
"39804","462","23","202","202","1"
"39805","55","30","107","107","1"
"39806","135","18","105","105","1"
"39807","254","27","106","106","1"
"39808","358","25","112","112","1"
"39809","87","154","185","185","1"
"39810","43","18","352","352","1"
"39811","134","56","728","728","1"
"39812","229","161","82","82","1"
"39813","118","86","87","87","1"
"39814","69","58","137","137","1"
"39815","169","54","133","133","1"
"39816","53","79","105","105","1"
"39817","131","68","104","104","1"
"39818","247","75","109","109","1"
"39819","352","73","113","113","1"
"39820","1267","496","687","687","1"
"39821","2102","997","744","744","1"
"39822","89","102","189","189","1"
"39823","174","77","81","81","1"
"39824","152","42","79","79","1"
"39825","227","152","228","228","1"
"39826","213","125","276","276","1"
"39827","298","509","1120","1120","1"
"39828","385","277","1035","1035","1"
"39829","101","61","84","84","1"
"39830","181","59","160","160","1"
"39831","126","150","74","74","1"
"39832","204","160","64","64","1"
"39833","234","92","82","82","1"
"39835","244","118","53","53","1"
"39837","152","118","78","78","1"
"39838","100","110","147","147","1"
"39839","114","151","113","113","1"
"39840","140","110","68","68","1"
"39841","162","200","83","83","1"
"39842","149","148","89","89","1"
"39843","136","144","81","81","1"
"39844","138","143","81","81","1"
"39845","219","99","73","73","1"
"39846","54","118","235","235","1"
"39847","133","137","74","74","1"
"39848","173","159","119","119","1"
"39849","151","131","58","58","1"
"39850","182","156","61","61","1"
"39851","83","70","133","133","1"
"39852","928","301","926","926","1"
"39853","275","247","76","76","1"
"39854","282","104","206","206","1"
"39855","715","862","1182","1182","1"
"39856","115","143","221","221","1"
"39857","174","19","286","286","1"
"39858","162","140","336","336","1"
"39859","78","29","121","121","1"
"39860","125","84","259","259","1"
"39861","216","108","415","415","1"
"39862","173","77","192","192","1"
"39863","237","84","163","163","1"
"39864","329","318","742","742","1"
"39865","201","70","269","269","1"
"39866","281","145","237","237","1"
"39867","294","223","187","187","1"
"39868","604","312","95","95","1"
"39869","281","126","399","399","1"
"39870","302","19","613","613","1"
"39871","97","115","200","200","1"
"39872","-2","48","302","302","1"
"39873","183","410","1079","1079","1"
"39874","825","263","463","463","1"
"39875","58","98","190","190","1"
"39876","123","84","83","83","1"
"39877","1049","1079","1245","1245","1"
"39878","35","59","372","372","1"
"39879","109","86","110","110","1"
"39880","161","62","144","144","1"
"39881","1419","520","1843","1843","1"
"39882","36","100","409","409","1"
"39883","78","128","218","218","1"
"39884","791","338","1403","1403","1"
"39885","-188","299","1523","1523","1"
"39886","143","50","264","264","1"
"39887","104","141","190","190","1"
"39888","69","91","205","205","1"
"39889","56","65","257","257","1"
"39891","116","223","128","128","1"
"39892","306","78","147","147","1"
"39893","236","292","1110","1110","1"
"39894","472","112","211","211","1"
"39895","263","88","98","98","1"
"39896","200","213","2095","2095","1"
"39897","616","800","1313","1313","1"
"39898","486","287","1372","1372","1"
"39899","129","171","442","442","1"
"39900","281","19","561","561","1"
"39901","56","179","807","807","1"
"39902","133","29","182","182","1"
"39903","4","-39","340","340","1"
"39904","118","96","90","90","1"
"39905","741","270","521","521","1"
"39906","213","190","98","98","1"
"39907","630","232","1406","1406","1"
"39908","99","168","69","69","1"
"39909","501","306","716","716","1"
"39910","430","188","366","366","1"
"39911","112","67","201","201","1"
"39912","56","111","344","344","1"
"39913","1858","534","1074","1074","1"
"39914","205","28","301","301","1"
"39915","53","170","242","242","1"
"39916","644","451","809","809","1"
"39917","1360","691","705","705","1"
"39918","104","212","104","104","1"
"39919","98","6","234","234","1"
"39920","166","117","194","194","1"
"39921","405","95","401","401","1"
"39922","58","153","540","540","1"
"39923","194","100","120","120","1"
"39924","283","148","142","142","1"
"39925","511","334","524","524","1"
"39926","456","94","294","294","1"
"39927","297","196","389","389","1"
"39928","1194","1150","886","886","1"
"39929","463","290","696","696","1"
"39930","756","439","488","488","1"
"39931","176","132","173","173","1"
"39932","207","7","369","369","1"
"39933","200","154","287","287","1"
"39934","375","268","348","348","1"
"39935","69","78","246","246","1"
"39936","94","57","168","168","1"
"39939","448","178","444","444","1"
"39940","63","-11","488","488","1"
"39941","167","337","468","468","1"
"39942","253","136","117","117","1"
"39943","-41","486","1298","1298","1"
"39944","1098","951","1289","1289","1"
"39945","60","95","194","194","1"
"39946","653","691","1217","1217","1"
"39947","88","258","444","444","1"
"39948","284","90","162","162","1"
"39949","43","124","210","210","1"
"39950","183","107","196","196","1"
"39951","-191","259","627","627","1"
"39952","13","72","301","301","1"
"39953","32","3","389","389","1"
"39954","208","83","156","156","1"
"39955","769","765","981","981","1"
"39956","3","-28","402","402","1"
"39957","94","241","142","142","1"
"39958","32","132","333","333","1"
"39959","233","40","307","307","1"
"39960","242","118","185","185","1"
"39961","154","19","148","148","1"
"39962","131","35","311","311","1"
"39963","73","49","381","381","1"
"39964","199","162","227","227","1"
"39965","135","60","242","242","1"
"39966","655","33","329","329","1"
"39967","521","719","1812","1812","1"
"39968","516","104","197","197","1"
"39969","48","77","230","230","1"
"39970","208","297","679","679","1"
"39971","79","97","283","283","1"
"39972","216","330","312","312","1"
"39974","313","162","142","142","1"
"39975","298","122","149","149","1"
"39976","282","193","142","142","1"
"39977","246","143","164","164","1"
"39978","226","179","172","172","1"
"39979","372","289","481","481","1"
"39980","117","97","157","157","1"
"39981","125","206","385","385","1"
"39982","99","136","224","224","1"
"39983","40","54","273","273","1"
"39984","188","106","209","209","1"
"39985","237","117","58","58","1"
"39986","142","120","94","94","1"
"39987","46","35","95","95","1"
"39988","289","52","112","112","1"
"39989","466","16","104","104","1"
"39990","624","41","119","119","1"
"39991","849","54","122","122","1"
"39992","108","66","574","574","1"
"39993","68","33","62","62","1"
"39994","185","113","180","180","1"
"39995","-86","-95","549","549","1"
"39996","211","146","123","123","1"
"39997","183","113","190","190","1"
"39998","129","89","89","89","1"
"39999","181","50","93","93","1"
"40000","-15","98","544","544","1"
"40001","532","197","291","291","1"
"40002","910","394","508","508","1"
"40003","194","123","82","82","1"
"40004","545","94","238","238","1"
"40005","258","79","59","59","1"
"40006","132","82","72","72","1"
"40007","33","47","319","319","1"
"40008","156","74","99","99","1"
"40009","95","-9","133","133","1"
"40010","664","197","216","216","1"
"40011","154","61","131","131","1"
"40012","172","205","64","64","1"
"40013","1266","891","466","466","1"
"40014","516","203","128","128","1"
"40015","110","99","338","338","1"
"40016","239","-46","192","192","1"
"40017","76","73","253","253","1"
"40018","103","29","275","275","1"
"40019","80","136","218","218","1"
"40020","193","63","101","101","1"
"40021","120","80","108","108","1"
"40022","793","665","502","502","1"
"40023","134","115","62","62","1"
"40024","320","121","59","59","1"
"40025","116","58","46","46","1"
"40026","275","43","47","47","1"
"40027","264","156","43","43","1"
"40028","389","175","37","37","1"
"40029","181","193","54","54","1"
"40030","291","35","51","51","1"
"40031","385","125","42","42","1"
"40032","228","108","69","69","1"
"40033","273","116","73","73","1"
"40034","363","136","63","63","1"
"40035","254","75","54","54","1"
"40036","149","119","60","60","1"
"40037","98","79","44","44","1"
"40038","139","196","72","72","1"
"40039","255","212","133","133","1"
"40040","192","163","150","150","1"
"40041","195","133","209","209","1"
"40042","160","173","545","545","1"
"40043","-49","-129","2464","2464","1"
"40044","73","73","208","208","1"
"40045","359","234","459","459","1"
"40046","113","109","78","78","1"
"40047","344","108","62","62","1"
"40048","329","71","55","55","1"
"40049","610","1067","1218","1218","1"
"40050","417","271","1457","1457","1"
"40051","494","456","465","465","1"
"40052","146","148","64","64","1"
"40053","104","140","190","190","1"
"40054","222","114","322","322","1"
"40055","1196","1151","881","881","1"
"40056","1178","672","484","484","1"
"40057","181","230","121","121","1"
"40058","209","189","191","191","1"
"40059","142","23","239","239","1"
"40060","330","64","51","51","1"
"40061","322","47","53","53","1"
"40062","304","229","150","150","1"
"40063","552","136","155","155","1"
"40064","58","83","340","340","1"
"40065","1446","437","770","770","1"
"40066","632","723","569","569","1"
"40067","351","31","85","85","1"
"40068","235","112","123","123","1"
"40069","112","32","58","58","1"
"40070","153","116","213","213","1"
"40071","156","135","219","219","1"
"40072","169","157","207","207","1"
"40073","163","164","193","193","1"
"40074","434","238","407","407","1"
"40075","143","28","70","70","1"
"40076","305","79","237","237","1"
"40077","103","56","128","128","1"
"40078","129","76","117","117","1"
"40079","118","82","135","135","1"
"40080","122","76","161","161","1"
"40081","221","82","187","187","1"
"40082","129","128","258","258","1"
"40083","1084","662","1718","1718","1"
"40084","447","138","174","174","1"
"40085","129","103","338","338","1"
"40086","106","-1","323","323","1"
"40087","1118","1124","1282","1282","1"
"40088","124","59","144","144","1"
"40089","548","376","746","746","1"
"40090","180","58","218","218","1"
"40091","540","301","404","404","1"
"40092","754","74","2398","2398","1"
"40093","1020","875","1308","1308","1"
"40094","165","136","307","307","1"
"40095","276","53","228","228","1"
"40096","87","380","523","523","1"
"40097","212","27","203","203","1"
"40098","150","67","145","145","1"
"40099","221","72","201","201","1"
"40100","53","48","170","170","1"
"40101","148","81","180","180","1"
"40102","256","91","133","133","1"
"40103","149","19","62","62","1"
"40104","340","13","61","61","1"
"40105","254","70","58","58","1"
"40106","634","401","1549","1549","1"
"40107","157","87","78","78","1"
"40108","-87","201","662","662","1"
"40109","176","68","113","113","1"
"40110","827","735","833","833","1"
"40111","172","134","203","203","1"
"40112","150","44","286","286","1"
"40113","132","70","271","271","1"
"40114","82","35","127","127","1"
"40115","9","57","399","399","1"
"40116","182","85","260","260","1"
"40117","275","126","154","154","1"
"40118","326","251","282","282","1"
"40119","167","111","176","176","1"
"40120","-5","75","347","347","1"
"40121","98","117","213","213","1"
"40122","170","-11","204","204","1"
"40123","1208","493","1631","1631","1"
"40124","76","47","289","289","1"
"40125","94","112","91","91","1"
"40126","208","89","148","148","1"
"40128","120","108","174","174","1"
"40129","352","271","499","499","1"
"40130","147","189","132","132","1"
"40131","673","363","1265","1265","1"
"40132","-66","75","402","402","1"
"40133","116","132","104","104","1"
"40134","82","65","288","288","1"
"40135","182","74","94","94","1"
"40136","140","109","186","186","1"
"40137","222","146","260","260","1"
"40138","123","121","298","298","1"
"40139","114","108","143","143","1"
"40140","235","151","123","123","1"
"40141","349","73","117","117","1"
"40142","343","246","140","140","1"
"40144","113","136","106","106","1"
"40145","206","181","107","107","1"
"40146","165","42","122","122","1"
"40147","1218","139","2162","2162","1"
"40148","261","104","133","133","1"
"40149","310","172","205","205","1"
"40150","146","826","1182","1182","1"
"40151","962","443","576","576","1"
"40152","-18","28","348","348","1"
"40153","54","216","226","226","1"
"40154","75","37","232","232","1"
"40155","219","118","140","140","1"
"40156","736","660","1826","1826","1"
"40157","302","288","417","417","1"
"40158","331","212","323","323","1"
"40159","209","107","594","594","1"
"40160","50","26","256","256","1"
"40161","460","247","185","185","1"
"40162","1797","660","1625","1625","1"
"40163","466","482","748","748","1"
"40164","145","48","208","208","1"
"40165","538","179","253","253","1"
"40166","280","85","73","73","1"
"40167","713","197","205","205","1"
"40168","387","569","2015","2015","1"
"40169","213","-21","521","521","1"
"40170","160","80","139","139","1"
"40171","470","436","454","454","1"
"40172","144","135","94","94","1"
"40173","237","65","194","194","1"
"40174","64","84","254","254","1"
"40175","186","48","48","48","1"
"40176","324","-5","310","310","1"
"40177","261","99","489","489","1"
"40178","288","120","168","168","1"
"40179","137","93","116","116","1"
"40180","287","161","214","214","1"
"40181","190","109","187","187","1"
"40182","128","130","234","234","1"
"40183","100","175","436","436","1"
"40184","271","189","789","789","1"
"40185","139","13","264","264","1"
"40186","227","67","174","174","1"
"40187","156","251","471","471","1"
"40188","125","42","232","232","1"
"40189","1354","505","1326","1326","1"
"40190","143","130","102","102","1"
"40191","163","116","143","143","1"
"40192","122","98","111","111","1"
"40193","1065","811","1253","1253","1"
"40194","164","197","342","342","1"
"40195","419","462","991","991","1"
"40196","69","76","311","311","1"
"40197","197","96","284","284","1"
"40198","195","72","125","125","1"
"40199","252","84","200","200","1"
"40200","94","269","385","385","1"
"40201","1045","467","1398","1398","1"
"40202","56","12","147","147","1"
"40203","283","21","133","133","1"
"40204","50","156","151","151","1"
"40205","293","161","135","135","1"
"40206","1073","650","729","729","1"
"40207","237","29","411","411","1"
"40208","200","227","152","152","1"
"40209","135","150","201","201","1"
"40210","134","101","95","95","1"
"40211","2075","652","1165","1165","1"
"40212","172","115","198","198","1"
"40213","102","147","86","86","1"
"40214","163","66","459","459","1"
"40215","496","104","452","452","1"
"40216","123","44","308","308","1"
"40217","139","2","286","286","1"
"40218","213","118","211","211","1"
"40219","104","98","131","131","1"
"40220","351","106","113","113","1"
"40221","106","-43","381","381","1"
"40222","245","300","571","571","1"
"40223","171","193","186","186","1"
"40224","93","55","280","280","1"
"40225","444","159","438","438","1"
"40226","234","76","93","93","1"
"40227","48","11","287","287","1"
"40228","161","67","140","140","1"
"40229","253","152","194","194","1"
"40230","440","681","1525","1525","1"
"40231","373","296","626","626","1"
"40232","142","130","233","233","1"
"40233","253","234","426","426","1"
"40234","1021","756","816","816","1"
"40235","617","156","297","297","1"
"40236","297","229","351","351","1"
"40237","-20","4","376","376","1"
"40238","194","81","246","246","1"
"40239","2200","459","1549","1549","1"
"40240","7","178","232","232","1"
"40241","193","69","95","95","1"
"40242","626","937","1339","1339","1"
"40243","117","97","242","242","1"
"40244","-33","0","342","342","1"
"40245","82","28","308","308","1"
"40246","1213","536","756","756","1"
"40247","153","101","202","202","1"
"40248","741","335","358","358","1"
"40249","250","188","394","394","1"
"40250","8","14","455","455","1"
"40251","495","348","479","479","1"
"40252","90","25","106","106","1"
"40253","58","289","111","111","1"
"40254","307","149","262","262","1"
"40255","190","21","281","281","1"
"40256","29","111","124","124","1"
"40257","253","42","153","153","1"
"40258","312","197","215","215","1"
"40259","659","361","734","734","1"
"40260","64","33","325","325","1"
"40261","63","82","177","177","1"
"40262","260","77","132","132","1"
"40263","306","165","336","336","1"
"40264","251","134","113","113","1"
"40265","14","69","283","283","1"
"40266","-45","21","549","549","1"
"40267","137","195","449","449","1"
"40268","285","13","165","165","1"
"40269","258","74","127","127","1"
"40270","186","96","159","159","1"
"40271","187","114","313","313","1"
"40272","148","119","127","127","1"
"40273","270","127","188","188","1"
"40274","173","142","186","186","1"
"40275","34","99","282","282","1"
"40276","189","107","249","249","1"
"40277","145","90","223","223","1"
"40278","204","61","331","331","1"
"40279","168","101","203","203","1"
"40280","68","77","213","213","1"
"40281","170","141","183","183","1"
"40282","141","100","267","267","1"
"40283","342","198","251","251","1"
"40284","422","277","167","167","1"
"40285","129","23","189","189","1"
"40286","207","58","190","190","1"
"40287","162","571","1549","1549","1"
"40288","206","5","329","329","1"
"40289","25","46","286","286","1"
"40290","190","62","104","104","1"
"40291","533","309","627","627","1"
"40292","993","443","1204","1204","1"
"40293","209","146","187","187","1"
"40294","238","84","240","240","1"
