"face_id","sex","occluded","glasses","bw","annot_type_id"
"39427","m","0","0","1","0"
"39428","m","0","0","0","0"
"39429","f","0","0","0","0"
"39430","f","0","0","0","0"
"39431","f","0","0","0","0"
"39432","f","0","0","1","0"
"39433","m","0","0","0","0"
"39435","f","0","0","0","0"
"39436","f","0","0","0","0"
"39437","m","0","0","1","0"
"39438","m","0","0","1","0"
"39439","f","0","0","0","0"
"39440","m","0","0","1","0"
"39441","f","0","0","1","0"
"39442","f","0","0","0","0"
"39443","f","0","0","1","0"
"39444","m","0","0","1","0"
"39445","f","0","0","0","0"
"39446","f","0","0","0","0"
"39447","f","0","0","0","0"
"39448","f","0","0","0","0"
"39449","f","0","0","0","0"
"39450","f","0","0","0","0"
"39451","f","0","0","0","0"
"39453","m","0","0","0","0"
"39454","f","0","0","0","0"
"39455","f","0","0","1","0"
"39456","m","0","0","1","0"
"39457","f","0","0","0","0"
"39458","f","0","0","1","0"
"39459","f","0","0","0","0"
"39460","m","0","0","1","0"
"39461","f","0","0","0","0"
"39462","f","0","0","0","0"
"39463","f","0","0","0","0"
"39464","f","1","0","0","0"
"39466","f","0","0","0","0"
"39467","f","0","0","0","0"
"39468","f","0","0","0","0"
"39469","m","0","0","0","0"
"39470","f","0","1","0","0"
"39471","f","0","0","0","0"
"39472","m","0","0","0","0"
"39473","m","0","0","0","0"
"39476","m","0","0","0","0"
"39477","f","0","0","1","0"
"39478","f","0","1","1","0"
"39479","f","0","0","0","0"
"39480","f","0","0","0","0"
"39481","f","0","0","1","0"
"39482","f","0","0","0","0"
"39483","f","0","0","0","0"
"39484","f","1","0","0","0"
"39485","f","0","0","1","0"
"39486","f","0","0","0","0"
"39487","f","0","0","0","0"
"39488","f","0","0","1","0"
"39489","f","0","0","0","0"
"39490","f","0","1","0","0"
"39491","f","0","0","0","0"
"39492","m","0","0","0","0"
"39493","m","0","0","0","0"
"39494","m","1","0","0","0"
"39495","f","0","0","0","0"
"39496","f","0","0","0","0"
"39497","f","0","0","0","0"
"39498","m","0","0","0","0"
"39499","m","0","0","0","0"
"39500","m","0","0","0","0"
"39501","m","0","1","1","0"
"39502","f","0","0","1","0"
"39503","f","0","0","1","0"
"39504","f","0","0","0","0"
"39505","m","0","1","0","0"
"39506","f","0","0","1","0"
"39507","f","0","0","1","0"
"39509","f","0","0","0","0"
"39510","f","0","0","0","0"
"39511","m","0","0","0","0"
"39512","m","0","0","0","0"
"39513","f","0","0","0","0"
"39514","m","0","0","0","0"
"39516","f","0","0","0","0"
"39517","f","0","0","0","0"
"39518","f","1","0","0","0"
"39523","f","0","0","0","0"
"39524","f","0","0","0","0"
"39525","m","0","0","0","0"
"39526","m","0","0","0","0"
"39527","f","0","0","1","0"
"39528","f","0","0","0","0"
"39529","f","0","0","0","0"
"39530","f","0","0","0","0"
"39531","m","0","0","0","0"
"39532","f","1","0","1","0"
"39533","f","0","0","0","0"
"39534","f","0","0","0","0"
"39537","m","0","0","0","0"
"39538","f","0","0","1","0"
"39539","f","0","0","1","0"
"39540","f","0","0","1","0"
"39541","f","0","0","1","0"
"39542","f","0","0","0","0"
"39543","f","0","0","1","0"
"39544","f","0","0","0","0"
"39545","m","0","0","0","0"
"39546","f","0","0","1","0"
"39547","f","0","0","1","0"
"39548","f","0","0","1","0"
"39549","m","0","0","0","0"
"39550","m","0","0","0","0"
"39551","f","0","0","1","0"
"39552","m","0","0","1","0"
"39553","f","0","0","1","0"
"39554","m","0","0","0","0"
"39555","f","0","0","1","0"
"39556","f","0","0","1","0"
"39557","f","0","0","1","0"
"39558","m","0","1","0","0"
"39559","f","0","0","0","0"
"39560","m","0","0","1","0"
"39561","f","0","0","0","0"
"39562","f","0","0","1","0"
"39563","m","0","0","0","0"
"39564","m","0","0","1","0"
"39566","f","0","0","0","0"
"39567","f","0","0","1","0"
"39568","m","0","0","0","0"
"39569","f","0","0","0","0"
"39570","f","0","0","1","0"
"39571","f","0","0","0","0"
"39572","f","1","0","0","0"
"39573","f","0","0","0","0"
"39574","f","0","0","1","0"
"39575","m","0","0","0","0"
"39576","f","0","0","0","0"
"39578","f","0","0","1","0"
"39579","f","0","0","0","0"
"39580","f","0","0","1","0"
"39581","f","0","0","0","0"
"39582","f","1","0","1","0"
"39583","f","0","0","0","0"
"39584","f","0","0","0","0"
"39585","f","0","0","1","0"
"39586","f","0","0","0","0"
"39587","m","0","0","0","0"
"39588","f","0","0","0","0"
"39589","f","0","0","0","0"
"39590","f","0","0","0","0"
"39591","f","0","0","0","0"
"39592","f","0","0","0","0"
"39593","m","0","1","1","0"
"39594","f","0","0","0","0"
"39595","f","0","0","0","0"
"39596","f","0","0","0","0"
"39597","f","0","0","0","0"
"39598","f","0","0","0","0"
"39599","f","0","0","0","0"
"39600","m","0","0","0","0"
"39601","m","0","0","0","0"
"39602","f","0","0","1","0"
"39603","f","0","0","0","0"
"39604","f","0","0","1","0"
"39606","f","0","0","0","0"
"39607","f","0","0","0","0"
"39609","f","0","0","0","0"
"39610","f","0","0","0","0"
"39611","m","0","0","1","0"
"39612","m","0","0","1","0"
"39613","f","0","0","0","0"
"39614","m","0","0","0","0"
"39615","m","0","0","0","0"
"39616","f","0","0","0","0"
"39617","f","0","0","0","0"
"39618","f","0","0","0","0"
"39619","m","0","0","1","0"
"39620","f","0","0","0","0"
"39621","f","0","0","0","0"
"39622","f","0","0","0","0"
"39624","f","0","0","0","0"
"39625","f","0","0","1","0"
"39626","f","0","0","1","0"
"39628","f","0","0","0","0"
"39629","m","0","0","1","0"
"39630","f","0","0","1","0"
"39631","f","0","0","0","0"
"39632","f","0","0","0","0"
"39633","f","1","0","0","0"
"39634","f","0","0","0","0"
"39635","f","0","0","0","0"
"39636","f","1","0","0","0"
"39637","f","0","0","0","0"
"39638","f","0","0","0","0"
"39639","f","1","0","1","0"
"39640","f","0","0","0","0"
"39641","f","0","0","1","0"
"39642","f","0","0","0","0"
"39643","f","0","0","1","0"
"39644","f","0","0","0","0"
"39645","f","1","0","1","0"
"39646","f","0","0","1","0"
"39647","m","0","0","0","0"
"39648","m","0","0","0","0"
"39649","m","0","0","1","0"
"39650","f","1","0","0","0"
"39651","m","0","0","0","0"
"39652","f","0","0","0","0"
"39653","f","0","0","0","0"
"39654","f","0","0","0","0"
"39655","f","0","0","0","0"
"39656","f","0","1","0","0"
"39657","f","0","0","0","0"
"39658","f","0","0","0","0"
"39659","m","0","1","0","0"
"39660","m","0","0","1","0"
"39661","f","0","0","0","0"
"39662","f","0","0","0","0"
"39663","m","0","0","1","0"
"39664","f","1","0","0","0"
"39665","f","0","0","0","0"
"39666","f","0","0","0","0"
"39667","f","0","0","0","0"
"39668","f","0","0","0","0"
"39669","f","0","0","0","0"
"39670","f","0","0","1","0"
"39671","f","0","0","0","0"
"39672","m","0","0","0","0"
"39673","f","0","0","1","0"
"39674","f","0","0","0","0"
"39675","f","0","0","0","0"
"39676","m","0","0","0","0"
"39677","f","0","0","1","0"
"39678","m","0","0","0","0"
"39679","f","0","0","0","0"
"39680","f","0","0","0","0"
"39681","m","0","0","0","0"
"39682","f","0","0","0","0"
"39683","m","0","0","0","0"
"39684","m","0","0","0","0"
"39685","f","0","0","0","0"
"39686","f","0","0","0","0"
"39687","m","0","0","0","0"
"39688","f","0","0","0","0"
"39689","f","0","0","0","0"
"39690","m","0","0","0","0"
"39691","m","0","0","0","0"
"39692","f","0","0","0","0"
"39693","f","0","0","0","0"
"39694","f","0","0","0","0"
"39695","f","0","0","0","0"
"39696","f","0","0","0","0"
"39697","f","0","0","0","0"
"39698","f","0","0","0","0"
"39699","f","0","0","0","0"
"39700","f","0","0","0","0"
"39701","f","0","0","0","0"
"39702","f","0","0","0","0"
"39703","f","0","0","0","0"
"39704","f","0","0","0","0"
"39705","f","0","0","0","0"
"39706","f","0","0","0","0"
"39707","f","0","0","1","0"
"39708","f","0","0","0","0"
"39709","f","0","0","0","0"
"39710","f","0","0","0","0"
"39711","f","0","0","0","0"
"39712","f","0","0","0","0"
"39713","f","0","0","0","0"
"39714","f","0","0","0","0"
"39715","f","0","0","0","0"
"39717","f","0","0","0","0"
"39718","f","0","0","0","0"
"39719","f","0","0","0","0"
"39720","f","0","0","0","0"
"39721","f","0","0","0","0"
"39722","f","0","0","0","0"
"39723","f","0","0","0","0"
"39724","m","0","0","1","0"
"39725","m","0","1","0","0"
"39726","f","0","0","0","0"
"39727","f","0","0","0","0"
"39728","f","0","0","0","0"
"39729","f","0","0","0","0"
"39730","m","0","0","0","0"
"39731","m","1","0","0","0"
"39732","f","0","0","0","0"
"39734","f","0","0","0","0"
"39735","f","0","0","0","0"
"39736","m","0","0","0","0"
"39737","m","0","0","0","0"
"39738","m","0","0","0","0"
"39739","f","0","0","0","0"
"39740","m","0","0","0","0"
"39741","f","0","0","0","0"
"39742","f","0","0","0","0"
"39743","m","0","0","0","0"
"39744","f","0","0","1","0"
"39745","f","0","0","0","0"
"39746","f","0","0","0","0"
"39747","f","0","0","0","0"
"39748","f","0","1","0","0"
"39749","m","0","0","0","0"
"39750","f","0","0","1","0"
"39751","m","0","0","0","0"
"39753","m","0","0","0","0"
"39755","f","0","0","0","0"
"39756","f","0","0","0","0"
"39757","f","0","1","0","0"
"39758","f","0","0","0","0"
"39759","f","0","0","0","0"
"39760","m","0","1","0","0"
"39761","f","0","0","1","0"
"39762","f","0","0","0","0"
"39763","m","0","0","0","0"
"39764","f","0","0","0","0"
"39765","f","0","0","0","0"
"39766","f","0","0","1","0"
"39767","f","0","0","0","0"
"39768","f","0","0","0","0"
"39769","m","0","0","0","0"
"39770","f","0","0","1","0"
"39771","f","0","0","0","0"
"39772","f","0","0","1","0"
"39773","f","0","0","0","0"
"39774","f","0","0","0","0"
"39775","f","1","0","1","0"
"39776","m","0","0","0","0"
"39779","m","0","0","0","0"
"39780","m","0","0","1","0"
"39781","m","0","0","1","0"
"39782","f","1","0","1","0"
"39783","m","0","0","1","0"
"39784","m","0","0","1","0"
"39785","m","0","0","0","0"
"39786","f","0","0","0","0"
"39787","m","0","0","0","0"
"39788","f","0","0","0","0"
"39789","f","0","0","0","0"
"39790","m","0","0","0","0"
"39791","m","0","0","1","0"
"39792","f","0","0","1","0"
"39793","f","0","0","0","0"
"39794","f","0","0","0","0"
"39795","f","0","0","0","0"
"39796","f","0","0","0","0"
"39797","m","0","0","1","0"
"39798","f","0","0","0","0"
"39799","f","0","1","1","0"
"39800","f","0","0","0","0"
"39801","m","0","1","1","0"
"39802","f","0","0","1","0"
"39803","f","0","0","1","0"
"39804","f","0","0","0","0"
"39805","f","0","0","0","0"
"39806","f","0","0","0","0"
"39807","f","0","0","0","0"
"39808","f","0","0","0","0"
"39809","f","0","0","1","0"
"39810","f","1","0","0","0"
"39811","f","0","0","1","0"
"39812","m","0","0","0","0"
"39813","f","0","0","0","0"
"39814","f","0","0","0","0"
"39815","f","0","0","0","0"
"39816","f","0","0","0","0"
"39817","f","0","0","0","0"
"39818","f","0","0","0","0"
"39819","f","0","0","0","0"
"39820","f","0","0","0","0"
"39821","f","0","0","0","0"
"39822","m","0","1","0","0"
"39823","f","0","0","0","0"
"39824","f","0","0","0","0"
"39825","f","0","0","0","0"
"39826","f","0","0","0","0"
"39827","f","0","0","0","0"
"39828","f","0","0","0","0"
"39829","m","0","0","0","0"
"39830","m","0","0","0","0"
"39831","m","0","0","0","0"
"39832","m","0","0","0","0"
"39833","m","0","0","0","0"
"39835","f","0","0","0","0"
"39837","m","0","0","0","0"
"39838","m","0","0","0","0"
"39839","f","0","0","0","0"
"39840","m","0","0","0","0"
"39841","m","0","0","0","0"
"39842","f","0","0","0","0"
"39843","f","0","1","0","0"
"39844","m","0","0","0","0"
"39845","m","0","1","0","0"
"39846","m","0","0","0","0"
"39847","m","0","0","0","0"
"39848","f","0","0","0","0"
"39849","m","0","0","0","0"
"39850","m","0","0","0","0"
"39851","f","0","0","0","0"
"39852","f","0","1","0","0"
"39853","m","0","0","0","0"
"39854","f","0","0","1","0"
"39855","m","0","0","0","0"
"39856","f","0","0","0","0"
"39857","f","0","0","0","0"
"39858","f","0","0","0","0"
"39859","f","0","0","0","0"
"39860","f","0","0","0","0"
"39861","f","0","0","0","0"
"39862","m","0","0","0","0"
"39863","f","0","0","0","0"
"39864","m","0","0","1","0"
"39865","f","0","0","0","0"
"39866","f","0","0","0","0"
"39867","m","0","0","0","0"
"39868","m","0","0","0","0"
"39869","m","0","0","0","0"
"39870","m","0","0","0","0"
"39871","f","0","1","0","0"
"39872","f","0","0","0","0"
"39873","f","0","0","1","0"
"39874","f","0","0","0","0"
"39875","f","0","0","1","0"
"39876","f","0","0","0","0"
"39877","f","0","0","0","0"
"39878","f","0","0","0","0"
"39879","f","0","0","0","0"
"39880","f","0","0","0","0"
"39881","f","0","0","0","0"
"39882","f","0","0","0","0"
"39883","f","0","0","0","0"
"39884","f","0","0","0","0"
"39885","f","0","0","0","0"
"39886","m","0","1","0","0"
"39887","f","0","0","1","0"
"39888","f","0","0","1","0"
"39889","f","0","0","0","0"
"39891","f","0","0","0","0"
"39892","f","0","0","0","0"
"39893","f","0","0","1","0"
"39894","f","0","0","0","0"
"39895","f","0","0","0","0"
"39896","f","0","0","1","0"
"39897","m","0","0","1","0"
"39898","m","0","0","1","0"
"39899","m","0","0","0","0"
"39900","f","0","0","0","0"
"39901","f","0","0","0","0"
"39902","f","0","0","0","0"
"39903","m","0","1","0","0"
"39904","f","0","0","0","0"
"39905","f","0","0","0","0"
"39906","f","0","0","0","0"
"39907","f","0","0","0","0"
"39908","f","0","0","1","0"
"39909","f","0","0","1","0"
"39910","m","0","0","0","0"
"39911","m","0","0","0","0"
"39912","f","0","0","1","0"
"39913","f","0","1","0","0"
"39914","f","0","0","0","0"
"39915","f","0","0","0","0"
"39916","m","0","0","0","0"
"39917","f","0","0","1","0"
"39918","f","0","0","0","0"
"39919","f","0","0","0","0"
"39920","f","0","0","0","0"
"39921","f","0","0","0","0"
"39922","m","0","1","0","0"
"39923","m","0","0","0","0"
"39924","m","0","0","0","0"
"39925","f","0","0","1","0"
"39926","f","0","0","0","0"
"39927","f","0","0","1","0"
"39928","m","0","0","0","0"
"39929","f","0","0","0","0"
"39930","f","0","0","0","0"
"39931","f","0","0","0","0"
"39932","f","0","0","0","0"
"39933","m","0","0","0","0"
"39934","m","0","0","0","0"
"39935","m","0","0","1","0"
"39936","f","1","0","0","0"
"39939","m","0","0","0","0"
"39940","f","1","0","0","0"
"39941","f","0","0","0","0"
"39942","m","0","0","0","0"
"39943","m","0","0","0","0"
"39944","f","0","0","0","0"
"39945","f","0","0","0","0"
"39946","m","0","1","0","0"
"39947","m","0","0","1","0"
"39948","m","0","0","0","0"
"39949","f","0","1","0","0"
"39950","f","0","0","0","0"
"39951","f","0","0","1","0"
"39952","f","0","0","0","0"
"39953","f","0","0","0","0"
"39954","f","0","1","0","0"
"39955","f","0","0","1","0"
"39956","f","0","0","0","0"
"39957","m","0","1","0","0"
"39958","f","0","0","0","0"
"39959","m","0","0","0","0"
"39960","m","0","1","0","0"
"39961","f","0","0","0","0"
"39962","m","0","0","1","0"
"39963","f","0","0","1","0"
"39964","f","0","0","0","0"
"39965","f","0","0","1","0"
"39966","m","0","0","0","0"
"39967","f","0","0","0","0"
"39968","f","0","0","1","0"
"39969","f","0","0","0","0"
"39970","f","0","0","1","0"
"39971","f","0","0","0","0"
"39972","f","0","0","1","0"
"39974","f","0","1","0","0"
"39975","f","0","0","0","0"
"39976","f","0","0","0","0"
"39977","f","0","0","0","0"
"39978","f","0","0","0","0"
"39979","f","0","0","0","0"
"39980","m","0","0","0","0"
"39981","f","0","0","0","0"
"39982","f","0","0","0","0"
"39983","f","0","0","0","0"
"39984","f","0","0","0","0"
"39985","f","0","0","1","0"
"39986","m","0","0","0","0"
"39987","f","0","0","0","0"
"39988","f","0","0","0","0"
"39989","f","0","0","0","0"
"39990","f","0","0","0","0"
"39991","f","0","0","0","0"
"39992","f","0","0","0","0"
"39993","f","0","0","0","0"
"39994","m","0","0","0","0"
"39995","f","0","0","0","0"
"39996","f","0","0","1","0"
"39997","m","0","1","1","0"
"39998","f","1","0","0","0"
"39999","m","0","0","0","0"
"40000","f","0","0","1","0"
"40001","m","0","1","1","0"
"40002","f","0","0","0","0"
"40003","f","0","0","0","0"
"40004","f","0","0","0","0"
"40005","f","0","0","1","0"
"40006","f","0","0","0","0"
"40007","f","0","0","1","0"
"40008","m","0","0","1","0"
"40009","f","0","0","0","0"
"40010","m","0","1","1","0"
"40011","f","0","0","1","0"
"40012","f","0","0","1","0"
"40013","f","0","0","0","0"
"40014","m","0","0","0","0"
"40015","m","0","1","0","0"
"40016","f","0","0","0","0"
"40017","m","0","0","0","0"
"40018","f","0","0","1","0"
"40019","f","0","0","0","0"
"40020","m","0","0","0","0"
"40021","m","0","0","1","0"
"40022","f","0","0","0","0"
"40023","m","0","0","0","0"
"40024","f","0","0","0","0"
"40025","m","0","0","0","0"
"40026","m","0","0","0","0"
"40027","m","0","0","0","0"
"40028","f","0","0","0","0"
"40029","f","0","0","0","0"
"40030","m","0","0","0","0"
"40031","m","0","0","0","0"
"40032","f","0","0","0","0"
"40033","f","0","0","0","0"
"40034","f","1","0","0","0"
"40035","m","0","0","0","0"
"40036","m","0","0","0","0"
"40037","f","0","0","0","0"
"40038","f","0","0","0","0"
"40039","f","0","0","0","0"
"40040","f","0","0","0","0"
"40041","m","0","0","0","0"
"40042","m","0","0","1","0"
"40043","f","0","0","1","0"
"40044","m","0","0","1","0"
"40045","m","0","0","1","0"
"40046","m","0","0","0","0"
"40047","m","0","0","0","0"
"40048","f","0","0","0","0"
"40049","m","0","0","1","0"
"40050","f","0","0","0","0"
"40051","f","0","0","0","0"
"40052","f","0","0","0","0"
"40053","f","0","0","1","0"
"40054","f","1","0","0","0"
"40055","m","0","0","0","0"
"40056","f","0","0","0","0"
"40057","f","0","0","0","0"
"40058","f","0","0","0","0"
"40059","f","0","0","0","0"
"40060","m","0","0","0","0"
"40061","m","0","0","0","0"
"40062","f","0","0","0","0"
"40063","f","0","0","0","0"
"40064","f","0","0","0","0"
"40065","f","0","0","0","0"
"40066","f","0","0","0","0"
"40067","f","0","0","0","0"
"40068","f","0","0","0","0"
"40069","m","0","0","0","0"
"40070","f","0","0","1","0"
"40071","m","0","0","1","0"
"40072","f","0","0","1","0"
"40073","f","0","0","1","0"
"40074","m","0","0","0","0"
"40075","f","0","1","0","0"
"40076","f","0","0","0","0"
"40077","f","0","0","0","0"
"40078","f","0","0","0","0"
"40079","f","0","0","0","0"
"40080","f","0","0","0","0"
"40081","f","0","0","0","0"
"40082","m","0","0","0","0"
"40083","f","0","0","1","0"
"40084","f","0","0","0","0"
"40085","f","0","1","0","0"
"40086","f","0","0","0","0"
"40087","f","0","0","0","0"
"40088","m","0","0","0","0"
"40089","m","0","1","0","0"
"40090","f","0","0","1","0"
"40091","f","0","0","1","0"
"40092","f","0","0","1","0"
"40093","f","0","0","0","0"
"40094","f","0","0","0","0"
"40095","f","0","1","1","0"
"40096","m","0","0","1","0"
"40097","m","0","0","0","0"
"40098","f","0","0","1","0"
"40099","m","0","0","0","0"
"40100","f","0","0","0","0"
"40101","m","0","0","1","0"
"40102","m","0","0","0","0"
"40103","f","0","0","0","0"
"40104","f","0","0","0","0"
"40105","f","0","0","1","0"
"40106","m","0","0","1","0"
"40107","f","1","0","0","0"
"40108","m","0","1","0","0"
"40109","m","0","0","0","0"
"40110","f","0","0","1","0"
"40111","m","1","0","1","0"
"40112","f","0","0","1","0"
"40113","m","0","0","1","0"
"40114","f","0","0","0","0"
"40115","m","0","0","0","0"
"40116","m","0","0","0","0"
"40117","f","0","0","0","0"
"40118","f","0","0","0","0"
"40119","f","0","0","1","0"
"40120","f","0","0","1","0"
"40121","m","0","0","0","0"
"40122","m","0","0","1","0"
"40123","m","0","0","0","0"
"40124","m","0","0","0","0"
"40125","m","1","0","0","0"
"40126","m","0","0","0","0"
"40128","f","0","0","0","0"
"40129","f","0","0","0","0"
"40130","f","0","0","0","0"
"40131","f","0","0","0","0"
"40132","m","0","0","0","0"
"40133","f","0","0","0","0"
"40134","f","0","0","0","0"
"40135","f","0","0","0","0"
"40136","f","0","0","0","0"
"40137","f","0","0","0","0"
"40138","f","0","0","0","0"
"40139","f","0","0","0","0"
"40140","f","0","0","0","0"
"40141","f","0","0","0","0"
"40142","f","0","0","0","0"
"40144","f","0","0","0","0"
"40145","f","0","0","0","0"
"40146","f","0","0","0","0"
"40147","m","0","0","1","0"
"40148","m","0","0","1","0"
"40149","m","0","0","0","0"
"40150","m","0","0","0","0"
"40151","f","0","0","0","0"
"40152","f","0","1","0","0"
"40153","f","0","0","1","0"
"40154","f","0","0","0","0"
"40155","m","0","0","0","0"
"40156","m","0","0","0","0"
"40157","f","0","0","0","0"
"40158","f","0","0","0","0"
"40159","f","0","0","1","0"
"40160","f","0","0","1","0"
"40161","f","0","0","0","0"
"40162","f","0","0","0","0"
"40163","m","0","0","1","0"
"40164","f","0","0","1","0"
"40165","f","0","0","1","0"
"40166","f","0","0","0","0"
"40167","m","0","0","0","0"
"40168","f","0","0","0","0"
"40169","f","0","0","0","0"
"40170","m","0","0","0","0"
"40171","m","0","0","0","0"
"40172","m","0","0","1","0"
"40173","f","0","0","0","0"
"40174","f","1","0","1","0"
"40175","m","0","0","0","0"
"40176","m","0","0","0","0"
"40177","m","0","1","1","0"
"40178","m","0","0","0","0"
"40179","f","0","0","0","0"
"40180","m","0","0","0","0"
"40181","f","0","0","0","0"
"40182","f","0","0","1","0"
"40183","m","0","0","0","0"
"40184","m","0","1","0","0"
"40185","f","0","0","1","0"
"40186","f","0","0","0","0"
"40187","f","0","0","0","0"
"40188","f","0","0","0","0"
"40189","f","0","0","0","0"
"40190","f","0","0","0","0"
"40191","f","0","0","0","0"
"40192","f","0","0","0","0"
"40193","m","0","0","0","0"
"40194","f","0","0","1","0"
"40195","f","0","0","0","0"
"40196","m","0","1","0","0"
"40197","f","0","0","0","0"
"40198","f","0","0","1","0"
"40199","f","0","0","0","0"
"40200","m","0","0","0","0"
"40201","f","0","0","0","0"
"40202","m","0","0","0","0"
"40203","m","0","0","0","0"
"40204","m","0","0","0","0"
"40205","m","0","0","0","0"
"40206","m","0","0","1","0"
"40207","f","0","0","0","0"
"40208","f","0","0","0","0"
"40209","f","0","0","1","0"
"40210","f","0","0","0","0"
"40211","f","1","0","1","0"
"40212","m","0","0","1","0"
"40213","f","0","0","0","0"
"40214","f","0","0","1","0"
"40215","m","0","0","1","0"
"40216","f","0","0","0","0"
"40217","m","0","0","0","0"
"40218","f","0","0","1","0"
"40219","f","0","0","0","0"
"40220","f","0","0","0","0"
"40221","m","0","1","1","0"
"40222","f","0","0","0","0"
"40223","f","0","0","0","0"
"40224","m","0","0","1","0"
"40225","f","0","0","0","0"
"40226","m","0","0","0","0"
"40227","f","0","0","1","0"
"40228","m","0","0","1","0"
"40229","f","0","0","0","0"
"40230","m","0","0","1","0"
"40231","f","0","0","0","0"
"40232","f","0","0","0","0"
"40233","m","0","0","0","0"
"40234","m","0","1","0","0"
"40235","f","0","0","0","0"
"40236","m","0","0","1","0"
"40237","f","0","0","0","0"
"40238","m","0","0","0","0"
"40239","f","0","0","0","0"
"40240","m","0","1","0","0"
"40241","f","0","0","0","0"
"40242","f","1","0","1","0"
"40243","f","0","0","1","0"
"40244","f","0","0","0","0"
"40245","m","0","0","1","0"
"40246","f","0","0","1","0"
"40247","f","0","0","0","0"
"40248","f","0","0","0","0"
"40249","f","0","0","0","0"
"40250","m","1","0","0","0"
"40251","m","0","0","0","0"
"40252","f","0","0","1","0"
"40253","f","0","0","1","0"
"40254","m","0","0","1","0"
"40255","f","0","0","0","0"
"40256","f","0","1","0","0"
"40257","f","0","0","0","0"
"40258","f","0","0","0","0"
"40259","m","0","1","0","0"
"40260","f","0","0","0","0"
"40261","f","0","0","0","0"
"40262","f","0","0","0","0"
"40263","f","0","0","0","0"
"40264","m","0","0","0","0"
"40265","f","0","1","0","0"
"40266","m","0","0","1","0"
"40267","f","0","0","0","0"
"40268","f","0","0","0","0"
"40269","f","0","0","1","0"
"40270","f","0","0","0","0"
"40271","f","0","0","1","0"
"40272","f","0","0","0","0"
"40273","f","0","0","0","0"
"40274","f","0","0","0","0"
"40275","m","0","0","1","0"
"40276","f","0","0","1","0"
"40277","f","0","0","0","0"
"40278","f","0","0","0","0"
"40279","f","0","0","0","0"
"40280","m","0","0","0","0"
"40281","f","0","0","0","0"
"40282","f","0","0","0","0"
"40283","f","0","0","1","0"
"40284","f","0","0","0","0"
"40285","f","0","0","0","0"
"40286","f","0","0","0","0"
"40287","f","0","0","1","0"
"40288","f","0","0","1","0"
"40289","f","0","0","0","0"
"40290","m","0","0","0","0"
"40291","f","0","0","0","0"
"40292","f","0","1","0","0"
"40293","m","0","0","0","0"
"40294","f","0","0","0","0"
"40295","f","0","0","1","0"
"40296","f","0","0","0","0"
"40297","f","0","1","1","0"
"40298","f","0","0","0","0"
"40299","f","0","0","0","0"
"40300","f","0","0","1","0"
"40301","m","0","0","1","0"
"40302","f","0","0","0","0"
"40303","m","0","0","0","0"
"40304","m","0","0","0","0"
"40305","f","0","0","0","0"
"40306","f","0","0","0","0"
"40307","m","0","0","0","0"
"40308","f","0","0","0","0"
"40309","f","0","0","0","0"
